path,instrument,resolution_m,format,sun_angle,corner_coords,dims,role,notes,source
data/LRO NAC 2/LRO_NAC/OTHER/M1458963905LC.IMG,LRO NAC,~0.5-2 (nominal),PDS3 .IMG (EDR/CDR) unprojected,,unknown (no embedded georef; needs SPICE/ISIS),5064x52224,reference,"paired LRO NAC for this CH2 scene (candidate footprint, PATCH grouping)",verified_local
data/LRO NAC 2/LRO_NAC/OTHER/M1458963905LE.IMG,LRO NAC,~0.5-2 (nominal),PDS3 .IMG (EDR/CDR) unprojected,,unknown (no embedded georef; needs SPICE/ISIS),5064x52224,reference,"paired LRO NAC for this CH2 scene (candidate footprint, PATCH grouping)",verified_local
data/LRO NAC 2/LRO_NAC/OTHER/M1484730453LC.IMG,LRO NAC,~0.5-2 (nominal),PDS3 .IMG (EDR/CDR) unprojected,,unknown (no embedded georef; needs SPICE/ISIS),5064x52224,reference,"paired LRO NAC for this CH2 scene (candidate footprint, PATCH grouping)",verified_local
data/LRO NAC 2/LRO_NAC/OTHER/M1484730453LE.IMG,LRO NAC,~0.5-2 (nominal),PDS3 .IMG (EDR/CDR) unprojected,,unknown (no embedded georef; needs SPICE/ISIS),5064x52224,reference,"paired LRO NAC for this CH2 scene (candidate footprint, PATCH grouping)",verified_local
data/LRO NAC 2/LRO_NAC/OTHER/M1494105148LC.IMG,LRO NAC,~0.5-2 (nominal),PDS3 .IMG (EDR/CDR) unprojected,,unknown (no embedded georef; needs SPICE/ISIS),5064x52224,reference,"paired LRO NAC for this CH2 scene (candidate footprint, PATCH grouping)",verified_local
data/LRO NAC 2/LRO_NAC/OTHER/M1494105148LE.IMG,LRO NAC,~0.5-2 (nominal),PDS3 .IMG (EDR/CDR) unprojected,,unknown (no embedded georef; needs SPICE/ISIS),5064x52224,reference,"paired LRO NAC for this CH2 scene (candidate footprint, PATCH grouping)",verified_local
data/LRO NAC 2/LRO_NAC/OTHER/M1502310381LC.IMG,LRO NAC,~0.5-2 (nominal),PDS3 .IMG (EDR/CDR) unprojected,,unknown (no embedded georef; needs SPICE/ISIS),5064x52224,reference,"paired LRO NAC for this CH2 scene (candidate footprint, PATCH grouping)",verified_local
data/LRO NAC 2/LRO_NAC/OTHER/M1502310381LE.IMG,LRO NAC,~0.5-2 (nominal),PDS3 .IMG (EDR/CDR) unprojected,,unknown (no embedded georef; needs SPICE/ISIS),5064x52224,reference,"paired LRO NAC for this CH2 scene (candidate footprint, PATCH grouping)",verified_local
data/LRO NAC 2/LRO_NAC/OTHER/M1504651871LC.IMG,LRO NAC,~0.5-2 (nominal),PDS3 .IMG (EDR/CDR) unprojected,,unknown (no embedded georef; needs SPICE/ISIS),5064x52224,reference,"paired LRO NAC for this CH2 scene (candidate footprint, PATCH grouping)",verified_local
data/LRO NAC 2/LRO_NAC/OTHER/M1504651871LE.IMG,LRO NAC,~0.5-2 (nominal),PDS3 .IMG (EDR/CDR) unprojected,,unknown (no embedded georef; needs SPICE/ISIS),5064x52224,reference,"paired LRO NAC for this CH2 scene (candidate footprint, PATCH grouping)",verified_local
data/LRO NAC 2/LRO_NAC/OTHER/M1509334374LC.IMG,LRO NAC,~0.5-2 (nominal),PDS3 .IMG (EDR/CDR) unprojected,,unknown (no embedded georef; needs SPICE/ISIS),5064x52224,reference,"paired LRO NAC for this CH2 scene (candidate footprint, PATCH grouping)",verified_local
data/LRO NAC 2/LRO_NAC/OTHER/M1509334374LE.IMG,LRO NAC,~0.5-2 (nominal),PDS3 .IMG (EDR/CDR) unprojected,,unknown (no embedded georef; needs SPICE/ISIS),5064x52224,reference,"paired LRO NAC for this CH2 scene (candidate footprint, PATCH grouping)",verified_local
data/LRO NAC 2/LRO_NAC/OTHER/M1511675535LC.IMG,LRO NAC,~0.5-2 (nominal),PDS3 .IMG (EDR/CDR) unprojected,,unknown (no embedded georef; needs SPICE/ISIS),2532x52224,reference,"paired LRO NAC for this CH2 scene (candidate footprint, PATCH grouping)",verified_local
data/LRO NAC 2/LRO_NAC/OTHER/M1511675535LE.IMG,LRO NAC,~0.5-2 (nominal),PDS3 .IMG (EDR/CDR) unprojected,,unknown (no embedded georef; needs SPICE/ISIS),2532x52224,reference,"paired LRO NAC for this CH2 scene (candidate footprint, PATCH grouping)",verified_local
data/LRO NAC 2/LRO_NAC/OTHER/M1522193974LC.IMG,LRO NAC,~0.5-2 (nominal),PDS3 .IMG (EDR/CDR) unprojected,,unknown (no embedded georef; needs SPICE/ISIS),5064x52224,reference,"paired LRO NAC for this CH2 scene (candidate footprint, PATCH grouping)",verified_local
data/LRO NAC 2/LRO_NAC/OTHER/M1522193974LE.IMG,LRO NAC,~0.5-2 (nominal),PDS3 .IMG (EDR/CDR) unprojected,,unknown (no embedded georef; needs SPICE/ISIS),5064x52224,reference,"paired LRO NAC for this CH2 scene (candidate footprint, PATCH grouping)",verified_local
data/PATCH-004/LRO NAC/IIRS/M104933968RC.IMG,LRO NAC,~0.5-2 (nominal),PDS3 .IMG (EDR/CDR) unprojected,,unknown (no embedded georef; needs SPICE/ISIS),5064x52224,reference,"paired LRO NAC for this CH2 scene (candidate footprint, PATCH grouping)",verified_local
data/PATCH-004/LRO NAC/OHRC/M1127547939RC.IMG,LRO NAC,~0.5-2 (nominal),PDS3 .IMG (EDR/CDR) unprojected,,unknown (no embedded georef; needs SPICE/ISIS),5064x52224,phase5,paired LRO NAC for OHRC-2026 phase5 low-sun scene (PATCH-004/OHRC grouping; footprint candidate),candidate
data/PATCH-004/LRO NAC/TMC/M104934550LC.IMG,LRO NAC,~0.5-2 (nominal),PDS3 .IMG (EDR/CDR) unprojected,,unknown (no embedded georef; needs SPICE/ISIS),5064x52224,reference,"paired LRO NAC for this CH2 scene (candidate footprint, PATCH grouping)",verified_local
